minute_idx,PersonenAnzahl,temp,rgb_value
1943,2.0,21.794027770488494,"(243, 149, 118)"
2020,1.0,22.114864534399594,"(233, 121, 94)"
2028,0.0,19.638020397019844,"(167, 196, 253)"
