,day,hour,minute,room_actual,minute_idx
0,216,8,41,Übergang,641
1,216,8,43,5C-02.2,643
2,216,9,38,5C-02.2,698
3,216,11,1,5C-02.2,781
4,216,12,3,Küche 5. OG,843
5,216,13,5,5C-02.2,905
6,216,13,22,Flur 4. OG Übergang,922
7,216,13,58,5C-02.2,958
8,216,14,26,5C-02.2,986
9,216,16,2,5C-02.2,1082
10,216,16,58,5C-02.2,1138
11,216,17,34,Übergang,1174
12,217,8,45,Übergang,1245
13,217,8,48,5C-02.2,1248
14,217,9,49,5C-02.2,1309
15,217,11,8,5C-02.2,1388
16,217,12,2,Küche 5. OG,1442
17,217,12,40,5C-02.2,1480
18,217,13,14,5C-01.1,1514
19,217,13,44,5C-02.2,1544
20,217,14,10,5C-02.2,1570
21,217,15,25,5C-02.2,1645
22,217,16,51,4C-05,1731
23,217,17,14,Übergang,1754
24,218,8,31,Übergang,1831
25,218,8,34,5C-02.2,1834
26,218,8,58,5C-01.1,1858
27,218,10,29,5C-01.1,1949
28,218,11,47,5C-02.2,2027
29,218,14,5,Flur 4. OG Übergang,2165
30,218,15,1,5C-02.2,2221
31,218,17,41,Übergang,2381
