,day,hour,minute,room_actual,minute_idx
0,216,8,11,Übergang,611
1,216,8,12,4C-10,612
2,216,9,17,4C-10,677
3,216,9,57,4C-10,717
4,216,12,19,4C-10,859
5,216,13,20,4C-10,920
6,216,13,51,4C-05,951
7,216,14,50,4C-10,1010
8,216,15,20,4C-10,1040
9,216,15,57,4C-05,1077
10,216,17,3,Übergang,1143
11,217,8,10,Übergang,1210
12,217,8,12,4C-10,1212
13,217,9,11,4C-10,1271
14,217,9,37,4C-10,1297
15,217,11,19,4C-10,1399
16,217,12,1,Küche 5. OG,1441
17,217,14,24,4C-10,1584
18,217,15,4,4C-10,1624
19,217,16,7,4C-10,1687
20,217,16,28,4C-10,1708
21,217,17,28,Übergang,1768
22,218,8,17,Übergang,1817
23,218,8,18,4C-10,1818
24,218,9,5,5C-01.1,1865
25,218,10,23,5C-01.1,1943
26,218,12,3,4C-05,2043
27,218,12,43,4C-10,2083
28,218,14,59,4C-10,2219
29,218,16,15,4C-10,2295
30,218,17,30,Übergang,2370
