,day,hour,minute,room_actual,minute_idx
0,215,8,47,Übergang,47
1,215,8,49,4C-07.1,49
2,215,10,49,4C-07.1,169
3,215,11,14,4C-07.1,194
4,215,11,44,4C-07.1,224
5,215,12,11,Küche 5. OG,251
6,215,12,48,4C-07.1,288
7,215,14,37,Flur 4. OG Übergang,397
8,215,16,33,4C-07.1,513
9,215,17,5,Übergang,545
10,216,8,43,Übergang,643
11,216,8,44,4C-07.1,644
12,216,10,22,4C-07.1,742
13,216,11,2,4C-05,782
14,216,12,8,Küche 5. OG,848
15,216,12,46,4C-07.1,886
16,216,14,39,4C-05,999
17,216,15,24,4C-07.1,1044
18,216,17,3,Übergang,1143
19,217,8,45,Übergang,1245
20,217,8,46,4C-07.1,1246
21,217,10,1,4C-07.1,1321
22,217,10,32,4C-07.1,1352
23,217,11,23,4C-07.1,1403
24,217,11,54,4C-07.1,1434
25,217,12,11,Küche 5. OG,1451
26,217,13,15,5C-01.1,1515
27,217,13,33,4C-07.1,1533
28,217,14,27,4C-07.1,1587
29,217,14,51,4C-07.1,1611
30,217,16,31,4C-07.1,1711
31,217,17,23,Übergang,1763
32,218,8,44,Übergang,1844
33,218,8,59,5C-01.1,1859
34,218,10,26,5C-01.1,1946
35,218,11,29,4C-07.1,2009
36,218,12,11,Küche 5. OG,2051
37,218,12,56,4C-07.1,2096
38,218,13,40,4C-07.1,2140
39,218,16,37,4C-07.1,2317
40,218,17,15,Übergang,2355
41,219,8,48,Übergang,2448
42,219,8,50,4C-07.1,2450
43,219,10,24,4C-07.1,2544
44,219,11,22,4C-07.1,2602
45,219,12,4,Küche 5. OG,2644
46,219,12,40,4C-07.1,2680
47,219,15,29,4C-07.1,2849
48,219,16,3,5C-01.1,2883
49,219,16,34,4C-07.1,2914
50,219,17,5,Übergang,2945
