,day,hour,minute,room_actual,minute_idx
0,218,8,29,Übergang,1829
1,218,8,31,5C-05.2,1831
2,218,8,59,5C-01.1,1859
3,218,10,23,5C-01.2,1943
4,218,11,40,5C-05.2,2020
5,218,12,1,Küche 5. OG,2041
6,218,13,0,5C-05.2,2100
7,218,15,2,5C-05.2,2222
8,218,15,44,5C-05.2,2264
9,218,16,13,5C-05.2,2293
10,218,16,53,Flur 4. OG Übergang,2333
11,218,17,39,Übergang,2379
12,219,8,42,Übergang,2442
13,219,8,51,4C-05,2451
14,219,9,37,5C-05.2,2497
15,219,11,7,5C-01.1,2587
16,219,11,52,5C-05.2,2632
17,219,12,9,Küche 5. OG,2649
18,219,12,59,5C-05.2,2699
19,219,16,19,5C-05.2,2899
20,219,17,9,Übergang,2949
