,day,hour,minute,room_actual,minute_idx
0,215,8,45,Übergang,45
1,215,8,48,4C-08,48
2,215,9,11,4C-05,71
3,215,9,56,4C-08,116
4,215,10,32,4C-08,152
5,215,10,56,Flur 4. OG Übergang,176
6,215,12,46,4C-08,286
7,215,13,10,4C-05,310
8,215,14,1,4C-08,361
9,215,15,49,4C-08,469
10,215,16,25,4C-08,505
11,215,17,32,Übergang,572
12,217,8,42,Übergang,1242
13,217,8,44,4C-08,1244
14,217,10,58,4C-08,1378
15,217,12,1,Flur 4. OG Übergang,1441
16,217,12,41,4C-08,1481
17,217,13,5,4C-08,1505
18,217,13,41,4C-08,1541
19,217,15,1,4C-08,1621
20,217,16,49,4C-08,1729
21,217,17,26,Übergang,1766
22,219,8,45,Übergang,2445
23,219,8,47,4C-08,2447
24,219,10,37,4C-08,2557
25,219,11,0,4C-08,2580
26,219,12,9,Flur 4. OG Übergang,2649
27,219,13,3,4C-08,2703
28,219,16,24,5C-05.2,2904
29,219,16,53,4C-08,2933
30,219,17,17,Übergang,2957
