,day,time,x,y,z,hour,minute,time_new,day_new,week_num,no_movement_5min,no_movement_15min,datetime
0,0,8.764737,5.81601334,-9.69,-9.394998,8,45,08:45:00,0,0.0,0.0,0.0,2023-01-01 08:45:00
1,0,8.766404,2.18230057,-8.933346,-9.423364,8,45,08:45:00,0,0.0,0.0,0.0,2023-01-01 08:45:00
2,0,8.768078,-1.833477,-8.933346,-9.454709,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
3,0,8.769748,-5.84272,-8.933346,-9.485995,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
4,0,8.771419,-9.852821,-8.933346,-9.517297,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
5,0,8.7730875,-13.8580132,-8.933346,-9.548554,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
6,0,8.774755,-17.8586922,-8.933346,-9.579776,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
7,0,8.776426,-21.8711357,-8.929475,-9.611094,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
8,0,8.778093,-25.8718262,-8.91495,-9.64232,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
9,0,8.779766,-29.88501,-8.901428,-9.673639,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
10,0,8.781435,-33.8909378,-8.906974,-9.704905,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
11,0,8.783106,-37.8519821,-8.933346,-9.818448,8,46,08:46:00,0,0.0,0.0,0.0,2023-01-01 08:46:00
12,0,8.784773,-39.7810173,-8.933346,-13.2582474,8,47,08:47:00,0,0.0,1.0,0.0,2023-01-01 08:47:00
13,0,8.934819,-41.27,-8.933346,-15.19,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
14,0,8.93649,-39.13931,-8.933346,-12.3422108,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
15,0,8.938158,-36.78189,-8.933346,-9.713594,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
16,0,8.939826,-33.7535,-8.120163,-11.6468,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
17,0,8.941494,-31.3040276,-6.01499176,-13.4300632,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
18,0,8.943161,-28.72289,-3.4882226,-14.4084377,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
19,0,8.944832,-25.9743271,-0.7549863,-13.1715631,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
20,0,8.946502,-25.056778,1.56665516,-10.5667906,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
21,0,8.948171,-28.8754272,1.56665516,-9.964985,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
22,0,8.949846,-32.8686829,1.56665421,-9.489161,8,56,08:56:00,0,0.0,0.0,0.0,2023-01-01 08:56:00
23,0,8.951516,-36.8487,1.56665421,-9.01491,8,57,08:57:00,0,0.0,0.0,0.0,2023-01-01 08:57:00
24,0,8.953186,-40.0710373,1.56665421,-6.893462,8,57,08:57:00,0,0.0,0.0,0.0,2023-01-01 08:57:00
25,0,8.954855,-43.9863434,1.56665516,-6.25004,8,57,08:57:00,0,0.0,0.0,0.0,2023-01-01 08:57:00
26,0,8.956533,-48.00592,1.56665516,-5.98499966,8,57,08:57:00,0,0.0,0.0,0.0,2023-01-01 08:57:00
27,0,8.958204,-51.53456,1.56665516,-5.75233364,8,57,08:57:00,0,0.0,1.0,0.0,2023-01-01 08:57:00
28,0,9.14357,-51.57,1.56665516,-5.749996,9,08,09:08:00,0,0.0,0.0,0.0,2023-01-01 09:08:00
29,0,9.145239,-47.9428864,1.56665516,-6.000663,9,08,09:08:00,0,0.0,0.0,0.0,2023-01-01 09:08:00
30,0,9.146906,-43.97476,1.56665516,-6.242593,9,08,09:08:00,0,0.0,0.0,0.0,2023-01-01 09:08:00
31,0,9.148576,-40.10497,1.56665421,-6.90059757,9,08,09:08:00,0,0.0,0.0,0.0,2023-01-01 09:08:00
32,0,9.150249,-36.8762054,1.56665421,-9.126379,9,09,09:09:00,0,0.0,0.0,0.0,2023-01-01 09:09:00
33,0,9.151917,-32.91739,1.56665421,-9.597491,9,09,09:09:00,0,0.0,0.0,0.0,2023-01-01 09:09:00
34,0,9.153587,-28.9821949,1.56665516,-10.0549421,9,09,09:09:00,0,0.0,0.0,0.0,2023-01-01 09:09:00
