,minute_idx,start,ziel
0,0,Übergang,Übergang
1,636,Übergang,Übergang
2,638,5C-04,5C-04
3,680,5C-04,5C-04
4,803,5C-04,5C-04
5,848,Küche 5. OG,Küche 5. OG
6,882,5C-04,5C-04
7,1062,5C-04,5C-04
8,1175,Übergang,Übergang
9,1244,Übergang,Übergang
10,1261,5C-02.1,5C-02.1
11,1289,5C-04,5C-04
12,1333,5C-04,5C-04
13,1444,Küche 5. OG,Küche 5. OG
14,1513,5C-01.1,5C-01.1
15,1533,5C-04,5C-04
16,1567,Flur 4. OG Übergang,Flur 4. OG Übergang
17,1605,5C-04,5C-04
18,1667,5C-04,5C-04
19,1686,5C-04,5C-04
20,1772,Übergang,Übergang
21,1832,Übergang,Übergang
22,1834,5C-04,5C-04
23,1865,5C-01.1,5C-01.1
24,1949,5C-01.1,5C-01.1
25,2020,5C-04,5C-04
26,2051,Küche 5. OG,Küche 5. OG
27,2100,5C-04,5C-04
28,2140,5C-04,5C-04
29,2179,5C-04,5C-04
30,2262,Flur 4. OG Übergang,Flur 4. OG Übergang
31,2363,Übergang,Übergang
