,minute_idx,PersonenAnzahl,temp,rgb_value
0,0,0.0,18.0,"(221, 96, 76)"
1,1943,2.0,21.54294884972097,"(246, 169, 138)"
2,2020,1.0,21.75241102965437,"(243, 152, 121)"
3,2028,0.0,21.458059123106437,"(247, 174, 145)"
