day,time,time_new,day_new,week_num,x,y,z,no_movement
1,8.610968,8:36:39,1,0.0,-0.409999847,-7.217,-8.12,
1,8.612747,8:36:45,1,0.0,-1.4575758,-6.35942268,-10.0674992,
1,8.614537,8:36:52,1,0.0,-2.24319077,-6.375717,-13.9349594,
1,8.616289,8:36:58,1,0.0,0.182564735,-6.392756,-17.2806587,
1,8.618089,8:37:5,1,0.0,0.661595345,-6.391237,-16.5871487,
1,8.619853,8:37:11,1,0.0,3.81528187,-6.392756,-15.967104,
1,8.621584,8:37:17,1,0.0,5.95786428,-5.55139256,-12.9603539,
1,8.623321,8:37:23,1,0.0,6.42716837,-3.75942278,-10.3105183,
1,8.625075,8:37:30,1,0.0,2.743063,-2.933477,-8.574423,
1,8.626811,8:37:36,1,0.0,-1.24451256,-0.245581388,-8.372259,
1,8.628561,8:37:42,1,0.0,-4.96186066,-0.2594229,-7.093627,
1,8.630377,8:37:49,1,0.0,-2.67541122,-0.2594229,-4.809257,
1,8.632121,8:37:55,1,0.0,1.297432,-0.2594229,-3.595322,
1,8.633833,8:38:1,1,0.0,5.39663124,-0.2594229,-3.29810834,
1,8.63555,8:38:7,1,0.0,9.505546,-0.2594229,-3.00019383,
1,8.637388,8:38:14,1,0.0,13.5828085,-0.2594229,-1.99732661,True
1,9.361954,9:21:43,1,0.0,13.8000011,-0.2594229,-1.51999986,
1,9.36371,9:21:49,1,0.0,12.3633556,-0.2594229,-2.744819,
1,9.365454,9:21:55,1,0.0,8.345704,-0.2594229,-3.383865,
1,9.367187,9:22:1,1,0.0,4.192684,-0.2594229,-3.59094381,
1,9.368972,9:22:8,1,0.0,0.4433918,-0.2594229,-3.83460951,
1,9.370708,9:22:14,1,0.0,-3.29968643,-0.2594229,-5.1662364,
1,9.372494,9:22:20,1,0.0,-4.324898,-0.2594229,-7.815748,
1,9.374321,9:22:27,1,0.0,-0.507605553,-0.235231876,-8.632293,
1,9.376058,9:22:33,1,0.0,2.56204987,-2.62268114,-8.804646,
1,9.377785,9:22:40,1,0.0,5.640195,-3.75942278,-10.1043758,
1,9.379585,9:22:46,1,0.0,6.30228567,-5.42494774,-12.9816227,
1,9.381342,9:22:52,1,0.0,3.6669302,-6.392756,-16.1930141,
1,9.383137,9:22:59,1,0.0,-0.0791797638,-6.380677,-15.9554405,
1,9.384964,9:23:5,1,0.0,-3.118475,-6.37051868,-12.8656616,
