day,hour,minute,room_actual,minute_idx
215,8,45,5C-05.2,45
215,10,21,5C-05.2,141
215,11,0,5C-05.2,180
215,12,3,Küche 5. OG,243
215,12,59,5C-05.2,299
215,13,59,5C-01.1,359
215,14,52,5C-05.2,412
215,15,33,5C-05.2,453
216,8,56,5C-05.2,656
216,9,51,5C-05.2,711
216,10,37,5C-05.2,757
216,11,39,5C-05.2,819
216,12,10,Küche 5. OG,850
216,13,5,5C-05.2,905
216,15,3,Flur 4. OG Übergang,1023
216,15,49,5C-05.2,1069
217,8,10,5C-05.2,1210
217,9,12,5C-05.2,1272
217,9,56,5C-05.2,1316
217,10,57,5C-05.2,1377
217,12,1,Küche 5. OG,1441
217,12,51,5C-05.2,1491
217,13,17,5C-01.1,1517
217,13,48,5C-05.2,1548
217,15,23,5C-05.2,1643
217,16,17,5C-05.2,1697
217,16,59,5C-05.2,1739
218,8,19,5C-05.2,1819
218,9,0,5C-01.1,1860
218,10,26,5C-01.1,1946
218,11,48,5C-05.2,2028
218,12,9,Küche 5. OG,2049
218,12,37,5C-05.2,2077
218,13,44,5C-01.1,2144
218,14,41,5C-05.2,2201
218,15,32,5C-05.2,2252
218,16,17,5C-05.2,2297
218,16,59,5C-05.2,2339
219,8,52,5C-05.2,2452
219,9,37,5C-05.2,2497
219,10,12,5C-05.2,2532
219,11,13,Flur 4. OG Übergang,2593
219,11,49,5C-05.2,2629
219,12,7,Küche 5. OG,2647
219,12,52,5C-05.2,2692
219,13,29,5C-05.2,2729
219,15,25,5C-05.2,2845
219,17,21,5C-05.2,2961
