day,hour,minute,room_actual,minute_idx
216,8,28,5C-03.1,628
216,10,13,5C-03.1,733
216,10,49,4C-05,769
216,11,24,5C-03.1,804
216,12,11,Küche 5. OG,851
216,12,39,5C-03.1,879
216,13,5,5C-03.1,905
216,13,28,5C-01.1,928
216,14,7,5C-03.1,967
216,14,50,5C-02.1,1010
216,15,9,5C-03.1,1029
216,16,3,5C-01.1,1083
217,8,36,5C-03.1,1236
217,9,0,5C-02.1,1260
217,9,35,5C-03.1,1295
217,10,35,5C-03.1,1355
217,11,10,5C-03.1,1390
217,11,33,5C-03.1,1413
217,12,10,Küche 5. OG,1450
217,12,45,5C-03.1,1485
217,13,14,5C-01.1,1514
217,13,32,5C-03.1,1532
217,14,48,5C-03.1,1608
217,15,35,Flur 4. OG Übergang,1655
217,16,11,5C-03.1,1691
218,8,23,5C-03.1,1823
218,8,58,5C-01.1,1858
218,10,29,5C-01.1,1949
218,11,47,5C-03.1,2027
218,12,5,Küche 5. OG,2045
218,12,37,5C-03.1,2077
218,14,24,5C-03.1,2184
218,14,44,5C-03.1,2204
218,17,12,5C-03.1,2352
