day,hour,minute,room_actual,minute_idx
216,8,12,4C-10,612
216,9,17,4C-10,677
216,9,57,4C-10,717
216,12,19,4C-10,859
216,13,20,4C-10,920
216,13,51,4C-05,951
216,14,50,4C-10,1010
216,15,20,4C-10,1040
216,15,57,4C-05,1077
217,8,12,4C-10,1212
217,9,11,4C-10,1271
217,9,37,4C-10,1297
217,11,19,4C-10,1399
217,12,1,Küche 5. OG,1441
217,14,24,4C-10,1584
217,15,4,4C-10,1624
217,16,7,4C-10,1687
217,16,28,4C-10,1708
218,8,18,4C-10,1818
218,9,5,5C-01.1,1865
218,10,23,5C-01.1,1943
218,12,3,4C-05,2043
218,12,43,4C-10,2083
218,14,59,4C-10,2219
218,16,15,4C-10,2295
