day,hour,minute,room_actual,minute_idx
216,8,27,4C-10,627
216,9,35,4C-10,695
216,11,45,4C-10,825
216,12,12,Küche 5. OG,852
216,12,51,4C-10,891
216,15,2,4C-10,1022
216,15,46,4C-05,1066
216,16,34,4C-10,1114
217,8,17,4C-10,1217
217,10,23,4C-10,1343
217,11,22,4C-10,1402
217,12,5,Küche 5. OG,1445
217,13,14,5C-01.1,1514
217,13,33,4C-10,1533
217,13,57,4C-10,1557
217,16,3,4C-10,1683
217,16,51,4C-05,1731
218,8,11,4C-10,1811
218,8,58,5C-01.1,1858
218,10,29,5C-01.1,1949
218,11,48,4C-10,2028
218,12,8,Küche 5. OG,2048
218,12,40,4C-10,2080
218,13,11,4C-10,2111
218,15,29,4C-10,2249
218,16,33,5C-01.1,2313
