idx_prediction,week_num,day,day_new,hour,minute,x_actual,y_actual,z_actual,room_actual,x_prediction,y_prediction,z_prediction,room_prediction
773,43.0,218,Thu,8,31,-47.7,1.56665456,-1.8500000000000014,5C-05.2,-47.406466007232666,1.5188140869140625,-1.9525375366210938,5C-05.2
774,43.0,218,Thu,8,59,-19.2879887,1.56665456,-19.17605,5C-01.1,-17.941436767578125,1.4994630813598633,-3.760547637939453,Küche 5. OG
775,43.0,218,Thu,10,23,-27.2666645,1.56665456,-31.0000057,5C-01.2,-32.16948699951172,1.5426454544067383,-3.554931640625,Herren WC 5. OG
776,43.0,218,Thu,11,40,-46.7436867,1.56665456,-2.5757775300000034,5C-05.2,-47.34838628768921,1.5171947479248047,-3.2039871215820312,5C-05.2
777,43.0,218,Thu,12,1,-16.804878199999997,1.56665456,-4.695100310000001,Küche 5. OG,-16.13344955444336,1.6043367385864258,-3.344249725341797,Küche 5. OG
778,43.0,218,Thu,13,0,-47.34543,1.56665456,-2.1896371799999983,5C-05.2,-47.277989864349365,1.604400634765625,-8.65678596496582,5C-04
779,43.0,218,Thu,15,2,-47.7,1.56665456,-1.8500000000000014,5C-05.2,-47.74353790283203,1.5925331115722656,-3.3019676208496094,5C-05.2
780,43.0,218,Thu,15,44,-47.2679863,1.56665456,-2.166800500000001,5C-05.2,-47.46952676773071,1.5836849212646484,-2.272266387939453,5C-05.2
781,43.0,218,Thu,16,13,-47.7,1.56665456,-1.8500000000000014,5C-05.2,-47.885897159576416,1.5697088241577148,-2.8721084594726562,5C-05.2
782,43.0,218,Thu,16,53,-10.417926799999996,-8.933346,-9.360136,Flur 4. OG Übergang,-9.305633544921875,-8.908106446266174,-2.4362525939941406,4C-21
783,43.0,219,Fri,8,51,-28.85999,-8.933346,-35.6000252,4C-05,-28.648229598999023,1.5474300384521484,-1.3025894165039062,Damen WC 5. OG
784,43.0,219,Fri,9,37,-46.16879,1.56665456,-3.2389206900000005,5C-05.2,-47.01105499267578,1.4852571487426758,-0.6868820190429688,5C-05.2
785,43.0,219,Fri,11,7,-18.0528641,1.56665456,-18.9996128,5C-01.1,-17.833702087402344,1.6171913146972656,-3.1015396118164062,Küche 5. OG
786,43.0,219,Fri,11,52,-47.6964836,1.56665456,-1.8530896899999973,5C-05.2,-47.823862075805664,1.5367765426635742,-2.1883773803710938,5C-05.2
787,43.0,219,Fri,12,9,-14.859981500000004,1.56665456,-3.2999968499999994,Küche 5. OG,-14.743419647216797,1.5961837768554688,-3.0425262451171875,Küche 5. OG
788,43.0,219,Fri,12,59,-47.5442123,1.56665456,-1.9658528599999983,5C-05.2,-47.5935583114624,1.5844736099243164,-2.2248878479003906,5C-05.2
789,43.0,219,Fri,16,19,-47.7,1.56665456,-1.8500000000000014,5C-05.2,-48.15415954589844,1.564549446105957,-1.9510231018066406,5C-05.2
