idx_prediction,week_num,day,day_new,hour,minute,x_actual,y_actual,z_actual,room_actual,x_prediction,y_prediction,z_prediction,room_prediction
784,43.0,217,Wed,8,46,-42.96,-8.933346,-2.700000000000003,4C-11,-42.573143005371094,-8.922885060310364,-2.837230682373047,4C-11
785,43.0,217,Wed,9,21,-42.8325844,-8.933346,-2.848449709999997,4C-11,-32.380470275878906,-8.933095335960388,-2.8787155151367188,Herren WC 4. OG
786,43.0,217,Wed,10,33,-41.50267,-8.933346,-4.502398489999997,4C-11,-42.377305030822754,-8.889819860458374,-2.3859939575195312,4C-11
787,43.0,217,Wed,12,11,-14.859991100000002,1.5666542099999994,-3.300000429999997,Küche 5. OG,-15.090545654296875,1.627284049987793,-3.824970245361328,Küche 5. OG
788,43.0,217,Wed,13,14,-20.246920000000003,1.5666542099999994,-18.9273815,5C-01.1,-19.66461944580078,1.5289573669433594,-19.32114028930664,5C-01.1
789,43.0,217,Wed,13,43,-42.96,-8.933346,-2.700000000000003,4C-11,-42.71152400970459,-8.926411986351013,-3.0584182739257812,4C-11
790,43.0,217,Wed,15,28,-42.96,-8.933346,-2.700000000000003,4C-11,-42.82420825958252,-8.97173547744751,-2.88446044921875,4C-11
791,43.0,217,Wed,15,55,-49.8678665,1.5666542099999994,-5.862676,5C-05.2,-50.336347579956055,1.7331428527832031,-3.179454803466797,5C-05.2
792,43.0,217,Wed,16,13,-42.96,-8.933346,-2.700000000000003,4C-11,-42.921321868896484,-8.954944014549255,-3.684642791748047,4C-11
793,43.0,217,Wed,16,49,-41.74321,-8.933346,-4.205492,4C-11,-42.19313907623291,-8.861288905143738,-2.787914276123047,4C-11
794,43.0,218,Thu,8,42,-42.8287277,-8.933346,-2.860767359999997,4C-11,-42.99574565887451,-8.953259229660034,-2.8759765625,4C-11
795,43.0,218,Thu,9,5,-18.786325499999997,1.5666542099999994,-19.1645317,5C-01.1,-19.162826538085938,1.5856513977050781,-19.349063873291016,5C-01.1
796,43.0,218,Thu,10,23,-44.78302,-8.933346,-8.52579,4C-09,-44.05220985412598,-9.139569580554962,-3.4559478759765625,4C-11
797,43.0,218,Thu,11,48,-42.1167831,-8.933346,-3.684980000000003,4C-11,-42.37815570831299,-8.876593589782715,-2.9244041442871094,4C-11
798,43.0,218,Thu,12,15,-15.238891600000002,1.5666542099999994,-3.716302159999998,Küche 5. OG,-15.2952880859375,1.5486717224121094,-3.9835548400878906,Küche 5. OG
799,43.0,218,Thu,13,4,-42.5571,-8.933346,-3.1693777999999995,4C-11,-42.72870445251465,-8.940154790878296,-3.1191635131835938,4C-11
800,43.0,218,Thu,14,5,-42.96,-8.933346,-2.700000000000003,4C-11,-42.94382286071777,-8.975262641906738,-2.7256622314453125,4C-11
801,43.0,218,Thu,14,36,5.816032409999998,-8.933346,-9.395002999999999,Flur 4. OG Übergang,5.731117248535156,-8.841241121292114,-16.453960418701172,4C-01.1
802,43.0,218,Thu,16,1,-41.5450363,-8.933346,-4.45046043,4C-11,-42.263397216796875,-8.867589354515076,-2.6402626037597656,4C-11
803,43.0,218,Thu,16,40,-42.96,-8.933346,-2.700000000000003,4C-11,-42.938514709472656,-8.96460211277008,-2.791046142578125,4C-11
