,minute_idx,start,ziel
0,0,Übergang,Übergang
1,620,Übergang,Übergang
2,622,5C-02.2,5C-02.2
3,784,5C-02.2,5C-02.2
4,843,Küche 5. OG,Küche 5. OG
5,882,5C-02.2,5C-02.2
6,982,Flur 4. OG Übergang,Flur 4. OG Übergang
7,1061,5C-02.2,5C-02.2
8,1099,5C-02.2,5C-02.2
9,1126,Flur 4. OG Übergang,Flur 4. OG Übergang
10,1180,Übergang,Übergang
11,1210,Übergang,Übergang
12,1232,5C-02.2,5C-02.2
13,1410,5C-02.2,5C-02.2
14,1513,5C-01.1,5C-01.1
15,1552,5C-02.2,5C-02.2
16,1603,4C-05,4C-05
17,1650,5C-02.2,5C-02.2
18,1702,4C-05,4C-05
19,1777,Übergang,Übergang
20,1829,Übergang,Übergang
21,1831,5C-02.2,5C-02.2
22,1858,5C-01.1,5C-01.1
23,1946,5C-01.1,5C-01.1
24,2045,Küche 5. OG,Küche 5. OG
25,2083,5C-02.2,5C-02.2
26,2161,5C-02.2,5C-02.2
27,2358,Übergang,Übergang
