,minute_idx,start,ziel
0,0,Übergang,Übergang
1,1829,Übergang,Übergang
2,1831,5C-05.2,5C-05.2
3,1859,5C-01.1,5C-01.1
4,1943,5C-01.2,5C-01.2
5,2020,5C-05.2,5C-05.2
6,2041,Küche 5. OG,Küche 5. OG
7,2100,5C-05.2,5C-05.2
8,2222,5C-05.2,5C-05.2
9,2264,5C-05.2,5C-05.2
10,2293,5C-05.2,5C-05.2
11,2333,Flur 4. OG Übergang,Flur 4. OG Übergang
12,2379,Übergang,Übergang
13,2442,Übergang,Übergang
14,2451,4C-05,4C-05
15,2497,5C-05.2,5C-05.2
16,2587,5C-01.1,5C-01.1
17,2632,5C-05.2,5C-05.2
18,2649,Küche 5. OG,Küche 5. OG
19,2699,5C-05.2,5C-05.2
20,2899,5C-05.2,5C-05.2
21,2949,Übergang,Übergang
