,minute_idx,start,ziel
0,0,Übergang,Übergang
1,1204,Übergang,Übergang
2,1207,5C-01.2,5C-01.2
3,1319,5C-01.2,5C-01.2
4,1359,5C-01.2,5C-01.2
5,1451,Flur 4. OG Übergang,Flur 4. OG Übergang
6,1479,5C-01.2,5C-01.2
7,1511,Flur 4. OG Übergang,Flur 4. OG Übergang
8,1621,5C-01.2,5C-01.2
9,1687,5C-01.2,5C-01.2
10,1731,Flur 4. OG Übergang,Flur 4. OG Übergang
11,1777,Übergang,Übergang
12,1805,Übergang,Übergang
13,1807,5C-01.2,5C-01.2
14,1874,5C-01.2,5C-01.2
15,1974,5C-01.2,5C-01.2
16,2041,Flur 4. OG Übergang,Flur 4. OG Übergang
17,2093,5C-01.2,5C-01.2
18,2157,5C-01.2,5C-01.2
19,2264,5C-01.2,5C-01.2
20,2343,5C-01.2,5C-01.2
21,2380,Übergang,Übergang
22,2406,Übergang,Übergang
23,2425,5C-01.2,5C-01.2
24,2464,5C-01.2,5C-01.2
25,2488,Flur 4. OG Übergang,Flur 4. OG Übergang
26,2528,5C-01.2,5C-01.2
27,2565,5C-01.2,5C-01.2
28,2610,5C-01.2,5C-01.2
29,2644,Flur 4. OG Übergang,Flur 4. OG Übergang
30,2682,5C-01.2,5C-01.2
31,2712,5C-01.2,5C-01.2
32,2758,5C-01.2,5C-01.2
33,2799,5C-01.2,5C-01.2
34,2847,4C-05,4C-05
35,2913,5C-01.2,5C-01.2
36,2978,Übergang,Übergang
