,minute_idx,start,ziel
0,0,Übergang,Übergang
1,1249,Übergang,Übergang
2,1250,4C-11,4C-11
3,1276,4C-11,4C-11
4,1306,4C-11,4C-11
5,1340,4C-11,4C-11
6,1370,Flur 4. OG Übergang,Flur 4. OG Übergang
7,1397,4C-11,4C-11
8,1449,Küche 5. OG,Küche 5. OG
9,1476,4C-11,4C-11
10,1514,5C-01.1,5C-01.1
11,1533,4C-11,4C-11
12,1653,4C-11,4C-11
13,1691,4C-11,4C-11
14,1745,Übergang,Übergang
15,1841,Übergang,Übergang
16,1842,4C-11,4C-11
17,1860,5C-01.1,5C-01.1
18,1943,5C-01.1,5C-01.1
19,2045,Küche 5. OG,Küche 5. OG
20,2089,4C-11,4C-11
21,2222,4C-11,4C-11
22,2316,Übergang,Übergang
