day,time,time_new,day_new,week_num,x,y,z,no_movement
0,8.040968,8:2:27,0,0.0,-0.409999847,-7.217,-8.119999,
0,8.042762,8:2:33,0,0.0,-0.8104973,-6.35942268,-8.870028,
0,8.044517,8:2:40,0,0.0,-2.64584541,-6.363562,-12.4065485,
0,8.04626751,8:2:46,0,0.0,-1.233614,-6.38001871,-15.8948278,
0,8.048015,8:2:52,0,0.0,1.95865536,-6.392756,-18.020359,
0,8.049766,8:2:59,0,0.0,4.5419426,-6.392756,-15.7167387,
0,8.051527,8:3:5,0,0.0,6.19422531,-5.14055443,-12.5164642,
0,8.053263,8:3:11,0,0.0,6.897915,-3.75942278,-9.814396,
0,8.055091,8:3:18,0,0.0,3.88076019,-3.75942278,-8.813007,
0,8.056865,8:3:24,0,0.0,0.903443336,-1.0495404,-8.868465,
0,8.058632,8:3:31,0,0.0,-2.34978867,-0.2594229,-10.2848692,
0,8.060878,8:3:39,0,0.0,-3.45607185,-0.2594229,-14.3721838,
0,8.062709,8:3:45,0,0.0,-1.09599113,-0.2594229,-17.1446781,
0,8.064379,8:3:51,0,0.0,2.87125969,-0.2594229,-17.1307755,
0,8.066098,8:3:57,0,0.0,6.978464,-0.2594229,-17.2253532,
0,8.06779,8:4:4,0,0.0,10.50467,-0.2594229,-18.3125,
0,8.069467,8:4:10,0,0.0,10.3504028,-0.2594229,-21.4835587,
0,8.07122,8:4:16,0,0.0,9.044762,-0.2594229,-23.56393,
0,8.072965,8:4:22,0,0.0,12.0117407,-0.23190093,-24.32612,
0,8.074779,8:4:29,0,0.0,16.20816,-0.3206545,-24.9126873,True
0,8.958299,8:57:29,0,0.0,16.239,-0.3211378,-24.917,
0,8.960086,8:57:36,0,0.0,14.3458376,-0.285726428,-24.359148,
0,8.961783,8:57:42,0,0.0,10.4374971,-0.2539506,-23.2074947,
0,8.96349,8:57:48,0,0.0,7.769492,-0.2594229,-21.5247,
0,8.96525,8:57:54,0,0.0,9.302111,-0.2594229,-20.9356747,
0,8.966943,8:58:0,0,0.0,10.7177715,-0.2594229,-20.92164,
0,8.968695,8:58:7,0,0.0,9.405579,-0.2594229,-18.3705311,
0,8.970458,8:58:13,0,0.0,6.06642628,-0.2594229,-16.41074,
0,8.972246,8:58:20,0,0.0,1.80890942,-0.2594229,-16.8909378,
0,8.973918,8:58:26,0,0.0,-1.728117,-0.2594229,-17.0591946,
0,8.975667,8:58:32,0,0.0,-3.11670113,-0.2594229,-14.6434164,
0,8.977406,8:58:38,0,0.0,-4.30314445,-0.2594229,-10.6581087,
0,8.979147,8:58:44,0,0.0,-6.37871361,-0.2594229,-7.13398743,
0,8.980985,8:58:51,0,0.0,-9.357378,-0.2594229,-7.233406,
0,8.982816,8:58:58,0,0.0,-10.3720264,-0.2594229,-11.305378,
0,8.984586,8:59:4,0,0.0,-10.0454464,-0.2594229,-15.12125,
0,9.009781,9:0:35,0,0.0,-9.0,-0.2594229,-15.38,
0,9.011496,9:0:41,0,0.0,-9.981997,-0.2594229,-13.898468,
0,9.013221,9:0:47,0,0.0,-11.0048046,-0.2594229,-10.2849894,
0,9.014986,9:0:53,0,0.0,-8.105829,-0.2594229,-7.413212,
0,9.016737,9:1:0,0,0.0,-4.839018,-0.2594229,-8.02861,
0,9.018511,9:1:6,0,0.0,-3.115366,-0.2594229,-11.8662071,
0,9.020271,9:1:12,0,0.0,-1.27681541,-0.2594229,-15.6113977,
0,9.022009,9:1:19,0,0.0,1.67083454,-0.2594229,-18.233181,
0,9.023798,9:1:25,0,0.0,5.36099148,-0.2594229,-16.7405186,
0,9.025554,9:1:31,0,0.0,9.066046,-0.2594229,-17.8317642,
0,9.02729,9:1:38,0,0.0,9.76793,-0.2594229,-21.640625,
0,9.02909,9:1:44,0,0.0,10.0866594,-0.2594229,-24.7333355,
0,9.03085,9:1:51,0,0.0,13.884181,-0.22608912,-24.8864174,True
0,10.6794262,10:40:45,0,0.0,16.239,-0.3211378,-24.917,
0,10.6811666,10:40:52,0,0.0,14.4265814,-0.293274879,-24.3829422,
0,10.68292,10:40:58,0,0.0,10.3916273,-0.254362,-23.204998,
0,10.6847086,10:41:4,0,0.0,7.771881,-0.2594229,-21.3540115,
0,10.6864119,10:41:11,0,0.0,9.369032,-0.2594229,-20.97965,
0,10.6882133,10:41:17,0,0.0,10.7169409,-0.2594229,-20.9150867,
0,10.6899576,10:41:23,0,0.0,9.27284,-0.2594229,-18.2273083,
0,10.6917171,10:41:30,0,0.0,5.9047966,-0.2594229,-16.40605,
0,10.6934662,10:41:36,0,0.0,1.7560482,-0.2594229,-16.908205,
0,10.69522,10:41:42,0,0.0,-1.84909821,-0.2594229,-16.9837322,
