,day,hour,minute,room_actual,minute_idx
0,217,8,2,Übergang,1202
1,217,8,4,5C-01.2,1204
2,217,10,0,5C-05.2,1320
3,217,10,18,5C-01.2,1338
4,217,10,43,5C-01.2,1363
5,217,11,42,5C-01.2,1422
6,217,12,6,Flur 4. OG Übergang,1446
7,217,12,38,5C-01.2,1478
8,217,15,1,5C-01.2,1621
9,217,16,2,5C-01.1,1682
10,217,16,45,5C-01.2,1725
11,217,17,17,Übergang,1757
12,218,8,1,Übergang,1801
13,218,8,4,5C-01.2,1804
14,218,10,18,5C-01.2,1938
15,218,12,16,Flur 4. OG Übergang,2056
16,218,12,49,5C-01.2,2089
17,218,14,35,5C-01.2,2195
18,218,15,37,5C-01.2,2257
19,218,17,38,Übergang,2378
20,219,8,3,Übergang,2403
21,219,8,6,5C-01.2,2406
22,219,8,35,5C-01.2,2435
23,219,9,38,5C-01.2,2498
24,219,10,34,5C-01.2,2554
25,219,11,41,5C-01.2,2621
26,219,12,4,Flur 4. OG Übergang,2644
27,219,12,37,5C-01.2,2677
28,219,14,14,4C-05,2774
29,219,15,22,5C-01.2,2842
30,219,17,17,Übergang,2957
