,minute_idx,start,ziel
0,0,Übergang,Übergang
1,600,Übergang,Übergang
2,684,4C-05,4C-05
3,740,5C-02.1,5C-02.1
4,760,5C-02.1,5C-02.1
5,815,5C-02.1,5C-02.1
6,853,Küche 5. OG,Küche 5. OG
7,905,5C-02.1,5C-02.1
8,1052,5C-02.1,5C-02.1
9,1117,5C-02.1,5C-02.1
10,1174,Übergang,Übergang
11,1247,Übergang,Übergang
12,1259,5C-02.1,5C-02.1
13,1288,5C-02.1,5C-02.1
14,1371,5C-02.1,5C-02.1
15,1426,5C-02.1,5C-02.1
16,1453,Flur 4. OG Übergang,Flur 4. OG Übergang
17,1483,5C-02.1,5C-02.1
18,1522,5C-02.1,5C-02.1
19,1553,5C-02.1,5C-02.1
20,1599,5C-02.1,5C-02.1
21,1720,5C-02.1,5C-02.1
22,1771,Übergang,Übergang
23,1847,Übergang,Übergang
24,1850,5C-02.1,5C-02.1
25,1891,5C-02.1,5C-02.1
26,1949,5C-01.1,5C-01.1
27,2020,5C-02.1,5C-02.1
28,2049,Flur 4. OG Übergang,Flur 4. OG Übergang
29,2089,5C-02.1,5C-02.1
30,2309,5C-02.1,5C-02.1
31,2351,Übergang,Übergang
