,day,hour,minute,room_actual,minute_idx
0,216,8,38,Übergang,638
1,216,8,41,5C-05.2,641
2,216,9,42,5C-05.2,702
3,216,11,18,5C-05.2,798
4,216,11,45,5C-05.2,825
5,216,12,7,Küche 5. OG,847
6,216,13,6,Flur 4. OG Übergang,906
7,216,13,49,5C-05.2,949
8,216,15,54,5C-05.2,1074
9,216,16,46,Übergang,1126
10,217,8,27,Übergang,1227
11,217,8,57,5C-05.2,1257
12,217,10,23,5C-05.2,1343
13,217,11,16,5C-05.2,1396
14,217,12,5,Küche 5. OG,1445
15,217,13,14,5C-01.1,1514
16,217,13,45,5C-05.2,1545
17,217,15,48,5C-05.2,1668
18,217,16,28,Übergang,1708
19,218,8,35,Übergang,1835
20,218,8,38,5C-05.2,1838
21,218,9,5,5C-01.1,1865
22,218,10,23,Flur 5. OG,1943
23,218,11,48,5C-05.2,2028
24,218,12,13,Küche 5. OG,2053
25,218,12,49,5C-05.2,2089
26,218,13,40,5C-05.2,2140
27,218,15,47,5C-05.2,2267
28,218,16,54,5C-05.2,2334
29,218,17,36,Übergang,2376
