,day,hour,minute,room_actual,minute_idx
0,217,8,49,Übergang,1249
1,217,8,50,4C-11,1250
2,217,9,16,4C-11,1276
3,217,9,46,4C-11,1306
4,217,10,20,4C-11,1340
5,217,10,50,Flur 4. OG Übergang,1370
6,217,11,17,4C-11,1397
7,217,12,9,Küche 5. OG,1449
8,217,12,36,4C-11,1476
9,217,13,14,5C-01.1,1514
10,217,13,33,4C-11,1533
11,217,15,33,4C-11,1653
12,217,16,11,4C-11,1691
13,217,17,5,Übergang,1745
14,218,8,41,Übergang,1841
15,218,8,42,4C-11,1842
16,218,9,0,5C-01.1,1860
17,218,10,23,5C-01.1,1943
18,218,12,5,Küche 5. OG,2045
19,218,12,49,4C-11,2089
20,218,15,2,4C-11,2222
21,218,16,36,Übergang,2316
