,day,hour,minute,room_actual,minute_idx
0,215,8,44,Übergang,44
1,215,8,45,4C-08,45
2,215,9,50,4C-08,110
3,215,10,34,4C-05,154
4,215,11,4,4C-08,184
5,215,12,7,Flur 4. OG Übergang,247
6,215,12,44,4C-08,284
7,215,13,56,4C-08,356
8,215,15,47,4C-08,467
9,215,16,8,4C-08,488
10,215,17,25,Übergang,565
11,217,8,33,Übergang,1233
12,217,8,35,4C-08,1235
13,217,8,55,5C-02.1,1255
14,217,9,16,4C-08,1276
15,217,10,35,4C-08,1355
16,217,12,3,Flur 4. OG Übergang,1443
17,217,12,45,4C-08,1485
18,217,14,21,4C-08,1581
19,217,14,59,4C-08,1619
20,217,17,39,Übergang,1779
21,219,8,54,Übergang,2454
22,219,8,55,4C-08,2455
23,219,10,35,5C-05.2,2555
24,219,10,57,4C-08,2577
25,219,11,39,Flur 4. OG Übergang,2619
26,219,12,5,Flur 4. OG Übergang,2645
27,219,12,39,4C-08,2679
28,219,13,16,4C-08,2716
29,219,13,53,Flur 4. OG Übergang,2753
30,219,15,3,4C-08,2823
31,219,15,53,4C-05,2873
32,219,16,49,4C-08,2929
33,219,17,12,Übergang,2952
