Day,Time,X,Y,Z
2,8.815271,-0.409999847,-7.217,-8.120001
2,8.81695,-2.03085613,-6.35942268,-11.0739937
2,8.818724,-1.75927544,-6.36699772,-14.95163
2,8.820544,1.30700493,-6.392756,-17.6470757
2,8.822217,5.25991964,-6.392756,-16.9497852
2,8.82406,9.44607449,-6.392756,-17.8429546
2,8.825897,9.180272,-6.392756,-21.4786377
2,8.827718,6.413087,-6.392756,-23.6418819
2,8.878145,6.8,-6.392756,-24.44
2,8.87996,7.636635,-6.392756,-21.5879478
2,8.881681,10.1044226,-6.392756,-19.64067
2,8.883478,7.28851557,-6.392756,-16.8661919
2,8.885193,3.22368336,-6.392756,-16.8533249
2,8.887018,-0.6723995,-6.376725,-15.5918493
2,8.888864,-2.45226288,-6.35942268,-12.04742
2,8.890657,-0.505396366,-6.35942268,-8.26988
2,10.5002317,-0.409999847,-6.35942268,-8.120001
2,10.5019674,-2.0878458,-6.35942268,-11.2154484
2,10.5037613,-1.621954,-6.369098,-15.0945435
2,10.5054789,1.25157166,-6.392756,-17.6622829
2,10.5072079,5.33646536,-6.392756,-16.9350967
2,10.5089664,9.357205,-6.392756,-17.8391037
2,10.5106993,9.570918,-6.392756,-21.3682976
2,10.5123978,6.414616,-6.392756,-23.2782078
2,10.537571,6.8,-6.392756,-24.44
2,10.5393143,7.05357552,-6.392756,-21.7308674
2,10.5410948,9.872912,-6.392756,-20.2615566
2,10.5428667,8.166268,-6.392756,-16.403677
2,10.54464,6.92240763,-5.108271,-12.9015694
2,10.5463238,5.77562046,-3.75942278,-9.976279
2,10.5480728,2.15130472,-2.46957159,-8.598857
2,10.5498352,-1.95636463,-0.2505722,-8.350065
2,10.551652,-6.25054646,-0.259422779,-8.026426
2,10.5534544,-10.0371237,-0.259422779,-8.699934
2,10.5552511,-10.6645231,-0.259422779,-12.9407005
2,10.55706,-9,-0.259422779,-15.38
2,10.5738325,-9,-0.259422779,-15.38
2,10.5755539,-10.5981512,-0.259422779,-13.0151281
2,10.5773458,-9.460013,-0.259422779,-9.0748415
2,10.5790281,-6.521964,-0.259422779,-7.861149
2,10.5807314,-3.93488026,-0.259422779,-10.5663815
2,10.5824833,-2.12142467,-0.259422779,-14.2986012
2,10.5842085,0.4055462,-0.259422779,-17.5819511
2,10.5859251,4.432728,-0.259422779,-17.0937519
2,10.5876484,5.536226,-0.259422779,-19.440815
2,10.612895,5.02,-0.259422779,-20.19
2,10.6146708,6.18502045,-0.259422779,-17.70478
2,10.6164446,2.61243057,-0.259422779,-16.8746223
2,10.618248,-1.09642649,-0.259422779,-15.03454
2,10.6200361,-2.36192226,-0.259422779,-11.4804134
2,10.6218672,0.478065968,-0.769360065,-8.489321
2,10.6236191,3.49687171,-3.58710861,-8.842566
2,10.6253538,6.68290043,-3.75942278,-10.9488468
2,10.627244,7.087714,-6.196003,-14.3533716
2,10.6290178,8.950552,-6.392756,-17.8490982
2,10.6307659,9.82176,-6.392756,-21.3496933
2,10.6325235,6.62669945,-6.392756,-22.4032612
2,12.0203733,6.8,-6.392756,-24.44
2,12.0220737,6.98801231,-6.392756,-21.9170933
