Day,Time,X,Y,Z
1,8.59913,-0.409999847,-7.217,-8.119999
1,8.601244,-0.409999847,-6.35942268,-8.119999
1,8.602925,-1.94507217,-6.35942268,-10.9391356
1,8.604757,-2.42598438,-6.37712145,-14.8730774
1,8.606516,0.733466148,-6.392756,-17.5791683
1,8.608197,3.08941746,-6.392756,-17.5668163
1,8.609897,5.2442317,-6.392756,-14.2963448
1,8.611712,6.73145866,-3.977272,-11.244112
1,8.613456,6.24188471,-3.75942278,-9.01581
1,8.615236,2.856452,-2.892974,-8.825356
1,8.617001,-0.214964867,-0.2549616,-8.954628
1,8.618787,-2.72697926,-0.2594229,-11.4953985
1,8.620544,-1.55104637,-0.2594229,-15.3628139
1,8.622284,1.38109016,-0.2594229,-18.1467476
1,8.624015,4.91988659,-0.2594229,-16.9295731
1,8.625768,8.745482,-0.2594229,-17.52319
1,8.627517,9.892737,-0.2594229,-21.1359463
1,8.629248,9.795788,-0.2594229,-24.6639919
1,8.631083,12.8504305,-0.3260895,-26.20391
1,10.0116835,12.994,-0.3260895,-26.57
1,10.0134335,12.2438393,-0.3260895,-25.7486744
1,10.0151091,9.560563,-0.2594229,-22.8305759
1,10.0169353,8.527388,-0.2594229,-20.42657
1,10.0187,9.543703,-0.2594229,-21.4412632
1,10.0204649,9.902796,-0.2594229,-19.42309
1,10.0223408,7.014584,-0.2594229,-16.31707
1,10.02412,2.84168243,-0.2594229,-16.7260418
1,10.0259266,-1.2818346,-0.2594229,-17.14743
1,10.0276718,-1.42705536,-0.2594229,-17.1218376
1,10.0295057,1.6717205,-0.2594229,-16.8050537
1,10.0313339,-0.09541893,-0.2594229,-15.2364693
1,10.0331821,-3.62752819,-0.2594229,-12.8518715
1,10.034996,-4.99912548,-0.2594229,-9.225935
1,10.0367422,-6.38269329,-0.2594229,-10.04936
1,10.0618515,-6.18999958,-0.2594229,-12.07
1,10.0636024,-5.35551739,-0.2594229,-10.3593674
1,10.0653639,-3.04108143,-0.2594229,-9.390327
1,10.0670919,-2.40897655,-0.2594229,-12.821373
1,10.0688133,-0.751958847,-0.2594229,-16.4130535
1,10.0706673,2.86183643,-0.2594229,-17.8115959
1,10.0724907,6.92491,-0.2594229,-16.711504
1,10.0742378,10.145978,-0.2594229,-18.9393883
1,10.0759907,9.51998,-0.2594229,-22.789259
1,10.0778036,10.6635914,-0.2594229,-24.7333355
1,10.0795336,12.994,-0.3260895,-26.57
1,10.2902431,12.994,-0.3260895,-26.57
1,10.2919741,11.7468872,-0.32132256,-25.2045746
1,10.2937469,9.008742,-0.2594229,-22.026989
1,10.2954617,8.639107,-0.2594229,-20.4999847
1,10.2971935,9.814354,-0.2594229,-21.2482452
1,10.2989349,9.95598,-0.2594229,-18.8425789
1,10.3006554,6.795098,-0.2594229,-16.5085926
1,10.3023624,2.735981,-0.2594229,-16.8050365
1,10.3040886,-1.17715549,-0.2594229,-17.0535469
1,10.3058453,-3.165433,-0.2594229,-14.4076624
1,10.3076687,-4.47763729,-0.2594229,-10.2552834
1,10.30952,-6.781642,-0.2594229,-6.750347
1,10.31125,-9.517602,-0.2594229,-7.371895
1,10.3129578,-10.3715544,-0.2594229,-11.2766991
1,10.31472,-10.1300058,-0.2594229,-15.10494
1,10.3398581,-8.999999,-0.2594229,-15.38
1,10.3418379,-10.3485823,-0.2594229,-13.3816109
1,10.34362,-10.6642981,-0.2594229,-9.72504
1,10.3454762,-7.303399,-0.2594229,-7.07521439
1,10.34729,-4.334647,-0.2594229,-8.897602
1,10.3489838,-2.77634716,-0.2594229,-12.6508865
1,10.3508148,-0.617009163,-0.2594229,-16.3855877
1,10.3525267,2.33276844,-0.2594229,-18.0383377
1,10.3543644,6.306192,-0.2594229,-16.7198811
1,10.3561115,9.949633,-0.2594229,-18.3752842
1,10.357933,9.798326,-0.2594229,-22.140976
1,10.3596115,9.912916,-0.2594229,-24.5576649
1,10.3613968,12.9863214,-0.3260895,-26.46927
1,11.85104,12.994,-0.3260895,-26.57
1,11.8528194,12.4148035,-0.3260895,-25.9358559
1,11.8545847,9.640643,-0.2594229,-22.9143925
1,11.8564024,8.530058,-0.2594229,-20.4283257
1,11.8581123,9.205648,-0.2594229,-21.19926
1,11.8598862,10.75364,-0.2594229,-19.6698074
1,11.8615694,8.254058,-0.2594229,-17.2452965
1,11.8633413,4.07894135,-0.2594229,-16.904417
1,11.8650341,0.0771818161,-0.2594229,-16.6740685
1,11.8668423,-2.48242283,-0.2594229,-13.4452744
1,11.8686476,-1.13189888,-0.2594229,-9.70776
1,11.87042,2.00773335,-2.27684069,-8.149139
1,11.8722324,5.20186043,-3.75942278,-9.815899
1,11.8741894,7.673199,-4.68295765,-12.7460861
1,11.875989,5.184323,-6.392756,-15.1486616
1,11.8777828,1.41312885,-6.392756,-17.1083717
1,11.8796186,-1.73691654,-6.37684345,-15.734087
1,11.8814468,-3.75414562,-6.35942268,-11.836112
1,11.88332,-5.818597,-6.35942268,-7.843956
1,11.8850212,-8.704543,-6.35942268,-5.12792
1,11.886692,-11.9451418,-6.35942268,-2.762514
1,12.1312075,-13.5460005,-6.35942268,-1.59399986
1,12.1329861,-12.6586618,-6.35942268,-2.32914543
1,12.1347485,-9.435348,-6.35942268,-4.999609
1,12.136528,-6.14788342,-6.35942268,-7.723219
1,12.138319,-3.71435452,-6.35942268,-11.1572762
1,12.1400089,-1.845211,-6.36646938,-14.7545
1,12.1417828,0.9091377,-6.392756,-17.8693867
1,12.1434841,3.761098,-6.392756,-17.062048
1,12.1452255,5.59163332,-6.36175251,-13.6358843
1,12.1469564,6.9323163,-3.75942278,-10.7797689
1,12.1486912,5.14220762,-3.75942278,-8.878635
1,12.1503887,1.41923237,-1.47790587,-8.60877
1,12.1521187,-2.674285,-0.255902171,-8.314108
1,12.1539211,-6.918275,-0.2594229,-8.0051
1,12.1556969,-10.9362288,-0.2594229,-8.487555
1,12.15752,-11.0240068,-0.2594229,-10.7756805
1,12.9122171,-11.9926939,-0.2594229,-10.9684267
1,12.91397,-10.530673,-0.2594229,-10.1194611
1,12.9157181,-7.8629446,-0.2594229,-7.05606842
1,12.9175243,-4.78117275,-0.2594229,-7.9795475
1,12.9192867,-3.12009144,-0.2594229,-11.854311
1,12.9210758,-1.34089756,-0.2594229,-15.7009783
1,12.9228725,1.92911148,-0.2594229,-18.1534214
1,12.9246464,5.70322561,-0.2594229,-16.65351
1,12.9263382,8.38291,-0.2594229,-17.3397388
1,12.9280233,8.420319,-0.2594229,-17.4198513
1,12.9297485,10.0270519,-0.2594229,-17.7587147
1,12.9314756,9.7316,-0.2594229,-21.6329288
1,12.9331875,10.2296886,-0.2594229,-24.7333336
1,12.9348679,12.994,-0.3260895,-26.57
1,12.9600468,12.994,-0.3260895,-26.57
1,12.9617348,11.8522806,-0.3260895,-25.31997
1,12.96357,8.930894,-0.2594229,-22.0656
1,12.9653435,8.503208,-0.2594229,-20.41068
1,12.9670162,9.653903,-0.2594229,-21.5423012
1,12.9687519,9.768553,-0.2594229,-19.22304
1,12.9704323,7.29478741,-0.2594229,-16.359705
1,12.9721451,3.42589378,-0.2594229,-16.5959339
1,12.9738541,-0.3093233,-0.2594229,-17.3410511
1,12.975708,-2.697916,-0.2594229,-14.81513
1,12.9775772,-4.35672474,-0.2594229,-10.6664972
1,12.9793062,-6.327197,-0.2594229,-7.075327
1,12.9811649,-9.292979,-0.2594229,-7.03788948
1,12.9829988,-10.3323355,-0.2594229,-11.1008625
1,12.9847879,-10.158164,-0.2594229,-15.0280485
1,13.00985,-8.999999,-0.2594229,-15.38
1,13.0116272,-9.846686,-0.2594229,-14.1026068
1,13.013483,-11.0035963,-0.2594229,-10.2866116
1,13.0152969,-7.98226643,-0.2594229,-7.34417343
1,13.0170231,-4.72835064,-0.2594229,-8.022205
1,13.0187187,-3.13412762,-0.2594229,-11.7154789
1,13.0205669,-1.31902885,-0.2594229,-15.68971
1,13.0223026,1.74191952,-0.2594229,-18.25161
1,13.0241184,5.47673941,-0.2594229,-16.690918
1,13.02579,9.028336,-0.2594229,-17.7797527
1,13.0275574,9.730504,-0.2594229,-21.70173
1,13.0292873,10.41849,-0.2594229,-24.7333355
1,13.0310078,12.994,-0.3260895,-26.57
1,13.5369,12.994,-0.3260895,-26.57
1,13.5386982,11.641366,-0.3014891,-25.0890465
1,13.5403957,8.938549,-0.2594229,-22.1006489
1,13.5421505,8.511612,-0.2594229,-20.4162025
1,13.54389,9.887465,-0.2594229,-21.4775543
1,13.5456619,9.806141,-0.2594229,-19.1178474
1,13.5474405,7.009234,-0.2594229,-16.3109341
1,13.5492783,2.70753384,-0.2594229,-16.759861
1,13.551055,-1.29750824,-0.2594229,-17.0400143
1,13.5527554,-3.19521236,-0.2594229,-14.4643545
1,13.5545521,-4.402255,-0.2594229,-10.386692
1,13.5797806,-6.18999958,-0.2594229,-12.07
1,13.5815287,-5.355008,-0.2594229,-10.3716774
1,13.5832825,-2.97736931,-0.2594229,-9.446543
1,13.5850811,-2.55112362,-0.2594229,-12.987606
1,13.5868664,-0.4695673,-0.2594229,-16.525795
1,13.5886059,2.58546925,-0.2594229,-17.9300385
1,13.5903549,6.434863,-0.2594229,-16.6173382
1,13.5921144,9.908059,-0.2594229,-18.5899048
1,13.5937815,9.734617,-0.2594229,-22.1803131
1,13.5954876,9.655671,-0.2594229,-24.10665
1,13.5973,12.9320822,-0.3260895,-26.1460552
1,14.4460316,12.994,-0.3260895,-26.57
1,14.44774,12.2787189,-0.3260895,-25.7868576
1,14.4495516,9.3852005,-0.2594229,-22.6350689
1,14.4513187,8.528452,-0.2594229,-20.427269
1,14.453063,9.357812,-0.2594229,-21.22704
1,14.45484,10.5868034,-0.2594229,-19.3954983
1,14.4566288,7.53414249,-0.2594229,-16.9645042
1,14.4584255,3.24202728,-0.2594229,-16.8714962
1,14.4601316,-0.5844488,-0.2594229,-16.1511841
1,14.4618931,-2.83912563,-0.2594229,-12.7089453
1,14.4636106,-1.134531,-0.2594229,-9.502834
1,14.4653111,2.11621571,-2.406393,-8.519836
1,14.46702,5.10205746,-3.75942278,-9.498222
1,14.46875,7.702049,-4.42845249,-12.3810148
1,14.4704762,7.05570555,-6.392756,-15.0808392
1,14.4722,9.867184,-6.392756,-16.8711948
1,14.4738731,11.7333336,-6.392756,-14.6971779
1,14.475646,11.7071123,-6.392756,-10.4574871
1,14.4774141,11.7173767,-6.392611,-6.21344
1,14.4790859,11.7276783,-6.38220263,-2.202324
1,14.4808044,12.0292072,-6.392756,1.8355732
1,15.3345642,13.1,-6.392756,2.92
1,15.3362827,12.7318211,-6.392756,2.235115
1,15.3380146,11.4010725,-6.36531544,-1.45929718
1,15.33974,11.076313,-6.386783,-5.58610535
1,15.3414669,10.7510662,-6.392756,-9.719265
1,15.3431778,10.4413939,-6.392756,-13.8
1,15.3449154,9.65553,-6.392756,-17.586853
1,15.3466511,8.718458,-6.392756,-18.1121216
1,15.3483315,7.91068745,-6.392756,-15.5830154
1,15.3501244,6.015111,-5.38581228,-12.7106686
1,15.3518753,6.807889,-3.75942278,-9.942968
1,15.3535671,3.94214058,-3.75942278,-8.816124
1,15.3552818,1.0649929,-1.11266553,-8.862408
1,15.3570957,-2.35894966,-0.2594229,-10.0498466
1,15.3588161,-2.31018257,-0.2594229,-13.7188473
1,15.3605509,0.0122699738,-0.2594229,-17.07988
1,15.36227,3.44567585,-0.2594229,-17.5613785
1,15.363987,7.279671,-0.2594229,-16.69842
1,15.3657351,9.861026,-0.2594229,-19.5798531
1,15.3674526,9.443492,-0.2594229,-23.4242
1,15.36924,11.6521845,-0.300436139,-25.0850182
1,15.6046324,12.994,-0.3260895,-26.57
1,15.606431,11.6585178,-0.3047124,-25.1078224
1,15.60812,8.970172,-0.2594229,-22.1254539
1,15.609849,8.53669,-0.2594229,-20.432682
1,15.61161,9.909382,-0.2594229,-21.48592
1,15.6134033,9.719583,-0.2594229,-19.0479279
1,15.6151638,6.966576,-0.2594229,-16.1975746
