Day,Time,X,Y,Z
2,8.050126,5.81600952,-9.69,-9.394997
2,8.051797,3.52554321,-8.933346,-9.42283249
2,8.053465,-0.4782982,-8.933346,-9.471497
2,8.055135,-4.48835754,-8.933346,-9.52024651
2,8.056804,-8.493443,-8.933345,-9.568926
2,8.058472,-12.49322,-8.933345,-9.617552
2,8.06014,-16.4987774,-8.933346,-9.666168
2,8.061812,-20.5072479,-8.933346,-9.738752
2,8.063482,-24.39331,-8.908078,-9.919426
2,8.065155,-28.27689,-8.841742,-10.1635208
2,8.066825,-32.1574974,-8.759201,-10.487009
2,8.068498,-33.7173462,-8.137201,-11.6297245
2,8.07017,-31.5185051,-6.265017,-13.3461552
2,8.071844,-28.9321,-3.633893,-14.44652
2,8.073515,-26.0200882,-0.9304601,-13.3984356
2,8.075185,-23.0032158,1.43659484,-11.1491451
2,8.076858,-19.5110664,1.56665456,-9.480513
2,8.07853,-18.0655937,1.56665456,-10.5979366
2,8.0802,-19.9033279,1.56665456,-13.81143
2,8.081868,-22.04388,1.56665456,-17.1971283
2,8.083535,-24.182827,1.56665456,-20.5736656
2,8.085207,-25.7323284,1.59342217,-23.4666653
2,8.08688,-24.957798,1.56665456,-26.3427258
2,8.08855152,-24.40897,1.56665456,-30.2846565
2,10.4561691,-24.34,1.56665456,-30.78
2,10.457839,-24.6471863,1.56665456,-28.4673939
2,10.4595156,-25.1766052,1.56665456,-24.4818249
2,10.4611874,-24.7927074,1.56665456,-20.7077961
2,10.4628563,-22.7862511,1.56665456,-17.2425785
2,10.4645281,-20.81367,1.56665456,-13.8075733
2,10.466197,-19.4840736,1.56665456,-10.0467377
2,10.467865,-18.7965469,1.56665456,-6.216852
2,10.4695358,-20.010788,1.56665456,-2.41400146
2,10.4945374,-22.0365524,1.56665456,-1.38935852
2,10.4962082,-19.7778416,1.56665456,-2.84901237
2,10.4978781,-18.778553,1.56665456,-6.424019
2,10.499548,-19.5322056,1.56665456,-10.305727
2,10.5012188,-20.0359459,1.56665456,-12.0937805
