Day,Time,X,Y,Z
0,8.607583,5.81600952,-9.69,-9.395004
0,8.609263,2.39796829,-8.933346,-9.421677
0,8.610962,-1.67863846,-8.933346,-9.453495
0,8.612641,-5.709778,-8.933346,-9.484957
0,8.614367,-9.849998,-8.933346,-9.517271
0,8.616051,-13.8912277,-8.933346,-9.548813
0,8.617721,-17.8990288,-8.933346,-9.580095
0,8.619425,-21.9885845,-8.929049,-9.612011
0,8.621127,-26.0746574,-8.914214,-9.643902
0,8.622816,-30.1263084,-8.901418,-9.675523
0,8.624531,-34.2424469,-8.908171,-9.707647
0,8.626211,-38.14135,-8.933346,-9.957222
0,8.627916,-40.0506973,-8.933346,-13.5149612
0,8.629607,-42.84532,-8.933346,-16.3702316
0,9.780083,-43.08,-8.933346,-16.61
0,9.781752,-40.5965,-8.933346,-14.0098705
0,9.783419,-38.2420273,-8.933346,-10.84262
0,9.785087,-35.2707825,-8.933346,-10.5539713
0,9.786758,-32.6523743,-7.44137144,-12.446681
0,9.788431,-30.2237473,-4.984354,-14.0640306
0,9.790099,-27.4474812,-2.3046155,-14.0900574
0,9.791771,-24.44892,0.638717651,-12.1875057
0,9.79344749,-21.1568451,1.56665516,-10.0427113
0,9.795121,-19.66543,1.56665421,-10.6490421
0,9.796799,-19.9011078,1.56665421,-11.6843433
0,9.798468,-21.160862,1.56665421,-14.8641281
0,9.800135,-22.62957,1.56665421,-18.505722
0,9.801804,-19.0693111,1.56665421,-19.01359
0,10.3240728,-18.03999,1.56665421,-19
0,10.3257389,-21.65457,1.56665421,-18.8894615
0,10.3274088,-21.9085426,1.56665421,-16.3258362
0,10.32908,-20.288063,1.56665421,-12.7151318
0,10.33075,-20.3396931,1.56665516,-9.391535
0,10.3324184,-23.36826,1.3543644,-11.3924971
0,10.3340912,-25.8578682,-0.7037878,-13.18941
0,10.335762,-28.4837246,-3.24725962,-14.4197063
0,10.3374319,-31.47049,-6.25190067,-13.3268852
0,10.3391,-34.3664,-8.492931,-11.208334
0,10.3407679,-37.8142242,-8.933346,-9.878327
0,10.3424377,-39.8858643,-8.933346,-13.2641659
0,10.3441105,-42.65107,-8.933346,-16.1607
0,10.3691177,-43.08,-8.933346,-16.61
0,10.37079,-40.5813,-8.933346,-13.9939375
0,10.3724575,-38.22602,-8.933346,-10.8156414
0,10.3741283,-35.23847,-8.933346,-10.5738029
0,10.3757982,-32.63531,-7.43076754,-12.4577227
0,10.3774652,-30.2188148,-4.980752,-14.0648642
0,10.3791389,-27.4317932,-2.29502344,-14.0840778
0,10.3808107,-24.28527,0.72720623,-12.0614958
0,10.3824806,-21.0564728,1.56665516,-9.711507
0,10.38415,-18.7392235,1.56665516,-6.84584427
0,10.3858185,-19.8143044,1.56665421,-2.98788261
0,10.3874893,-22.0899887,1.56665421,-1.35999489
0,10.4041576,-22.0899887,1.56665421,-1.35999489
0,10.4058294,-19.5750675,1.56665421,-3.68004036
0,10.4074974,-18.7989941,1.56665516,-7.55732536
0,10.4091692,-21.0883274,1.56665516,-7.78920555
0,10.4108381,-22.019989,1.56665421,-5.13999557
0,10.4358406,-22.019989,1.56665421,-5.13999557
0,10.4375114,-22.42025,1.56665516,-8.539326
0,10.4391794,-24.5963154,1.21616936,-11.4002438
