person,x_MAE,x_MSE,x_RMSE,y_MAE,y_MSE,y_RMSE,z_MAE,z_MSE,z_RMSE,accuracy
Locations_00,0.44021058082580566,0.317746639251709,0.5636901979382903,0.44021058082580566,0.317746639251709,0.5636901979382903,0.44021058082580566,0.317746639251709,0.5636901979382903,72.0
Locations_01,0.8392457365989685,4.725337028503418,2.173784034466952,0.8392457365989685,4.725337028503418,2.173784034466952,0.8392457365989685,4.725337028503418,2.173784034466952,88.63636363636364
Locations_02,0.8120486736297607,4.341763496398926,2.0836898752930884,0.8120486736297607,4.341763496398926,2.0836898752930884,0.8120486736297607,4.341763496398926,2.0836898752930884,80.0
Locations_03,2.4019854068756104,40.32471466064453,6.350174380333546,2.4019854068756104,40.32471466064453,6.350174380333546,2.4019854068756104,40.32471466064453,6.350174380333546,73.33333333333333
Locations_04,3.924344301223755,109.97982788085938,10.487126769561783,3.924344301223755,109.97982788085938,10.487126769561783,3.924344301223755,109.97982788085938,10.487126769561783,75.0
Locations_05,0.1731424778699875,0.054246947169303894,0.23290974039164591,0.1731424778699875,0.054246947169303894,0.23290974039164591,0.1731424778699875,0.054246947169303894,0.23290974039164591,84.0
Locations_06,4.459186553955078,105.6845932006836,10.280301221301038,4.459186553955078,105.6845932006836,10.280301221301038,4.459186553955078,105.6845932006836,10.280301221301038,75.0
Locations_07,0.22884352505207062,0.1496187299489975,0.3868058039236194,0.22884352505207062,0.1496187299489975,0.3868058039236194,0.22884352505207062,0.1496187299489975,0.3868058039236194,88.23529411764706
Locations_08,0.41332629323005676,0.31906482577323914,0.564858235111465,0.41332629323005676,0.31906482577323914,0.564858235111465,0.41332629323005676,0.31906482577323914,0.564858235111465,88.0
Locations_09,0.8236228227615356,5.619290351867676,2.3705042400020457,0.8236228227615356,5.619290351867676,2.3705042400020457,0.8236228227615356,5.619290351867676,2.3705042400020457,85.0
Locations_10,0.7749332785606384,4.874452590942383,2.2078162493609796,0.7749332785606384,4.874452590942383,2.2078162493609796,0.7749332785606384,4.874452590942383,2.2078162493609796,90.2439024390244
Locations_11,0.5747736096382141,0.6689938902854919,0.8179204669682083,0.5747736096382141,0.6689938902854919,0.8179204669682083,0.5747736096382141,0.6689938902854919,0.8179204669682083,95.83333333333334
Locations_12,0.12853960692882538,0.03195902332663536,0.1787708682269999,0.12853960692882538,0.03195902332663536,0.1787708682269999,0.12853960692882538,0.03195902332663536,0.1787708682269999,80.0
Locations_13,3.513040542602539,112.56441497802734,10.609637834442198,3.513040542602539,112.56441497802734,10.609637834442198,3.513040542602539,112.56441497802734,10.609637834442198,85.41666666666666
Locations_14,0.6735517978668213,1.7125365734100342,1.3086392067373016,0.6735517978668213,1.7125365734100342,1.3086392067373016,0.6735517978668213,1.7125365734100342,1.3086392067373016,64.70588235294117
Locations_15,1.4835013151168823,21.182817459106445,4.602479490351526,1.4835013151168823,21.182817459106445,4.602479490351526,1.4835013151168823,21.182817459106445,4.602479490351526,79.54545454545455
Locations_16,4.000813961029053,35.32975387573242,5.943883736727395,4.000813961029053,35.32975387573242,5.943883736727395,4.000813961029053,35.32975387573242,5.943883736727395,57.14285714285714
Locations_18,0.28160908818244934,0.20283184945583344,0.45036857067943076,0.28160908818244934,0.20283184945583344,0.45036857067943076,0.28160908818244934,0.20283184945583344,0.45036857067943076,88.46153846153845
Locations_19,1.5821702480316162,68.64114379882812,8.284995099505378,1.5821702480316162,68.64114379882812,8.284995099505378,1.5821702480316162,68.64114379882812,8.284995099505378,75.0
Locations_20,0.3736420273780823,0.3670354187488556,0.605834481313878,0.3736420273780823,0.3670354187488556,0.605834481313878,0.3736420273780823,0.3670354187488556,0.605834481313878,88.46153846153845
