idx_prediction,week_num,day,day_new,hour,minute,x_actual,y_actual,z_actual,room_actual,x_prediction,y_prediction,z_prediction,room_prediction
2059,43.0,215,Mon,8,45,-51.38626,1.56665456,-5.756044000000003,5C-05.2,-50.892005443573,1.561457633972168,-5.785694122314453,5C-05.2
2060,43.0,215,Mon,10,21,-51.1955948,1.56665456,-5.757768999999996,5C-05.2,-50.990994453430176,1.5753812789916992,-5.755268096923828,5C-05.2
2061,43.0,215,Mon,11,0,-51.57,1.56665456,-5.75,5C-05.2,-51.251609563827515,1.5824708938598633,-5.818359375,5C-05.2
2062,43.0,215,Mon,12,3,-14.862583200000003,1.56665456,-3.3026351899999966,Küche 5. OG,-15.15350341796875,1.607818603515625,-3.6927947998046875,Küche 5. OG
2063,43.0,215,Mon,12,59,-50.61273,1.56665456,-5.779665469999998,5C-05.2,-50.841630935668945,1.5999956130981445,-5.809658050537109,5C-05.2
2064,43.0,215,Mon,13,59,-20.094478600000002,1.56665456,-18.9376,5C-01.1,-50.55414628982544,1.5712060928344727,-5.799385070800781,5C-05.2
2065,43.0,215,Mon,14,52,-49.9639053,1.56665456,-5.8007226,5C-05.2,-50.49821472167969,1.5703392028808594,-5.774971008300781,5C-05.2
2066,43.0,215,Mon,15,33,-50.6096344,1.56665456,-5.780458000000003,5C-05.2,-50.48917007446289,1.5732688903808594,-5.774692535400391,5C-05.2
2067,43.0,216,Tue,8,56,-49.8910332,1.56665456,-5.806964999999998,5C-05.2,-50.64431190490723,1.562540054321289,-5.765125274658203,5C-05.2
2068,43.0,216,Tue,9,51,-50.5836945,1.56665456,-5.780930519999998,5C-05.2,-50.85656499862671,1.5617656707763672,-5.759792327880859,5C-05.2
2069,43.0,216,Tue,10,37,-51.5592728,1.56665456,-4.451301569999998,5C-05.2,-50.99505615234375,1.5638141632080078,-5.747871398925781,5C-05.2
2070,43.0,216,Tue,11,39,-51.4122,1.56665456,-5.755118369999998,5C-05.2,-51.11362075805664,1.5664329528808594,-5.7382659912109375,5C-05.2
2071,43.0,216,Tue,12,10,-14.8599854,1.56665456,-3.2999992399999982,Küche 5. OG,-15.196975708007812,1.6022377014160156,-3.7948989868164062,Küche 5. OG
2072,43.0,216,Tue,13,5,-50.2389946,1.56665456,-5.790669999999999,5C-05.2,-50.67891311645508,1.576939582824707,-5.7486419677734375,5C-05.2
2073,43.0,216,Tue,15,3,-9.019202999999997,-8.933346,-9.374191,Flur 4. OG Übergang,-50.55025005340576,1.5766315460205078,-5.773750305175781,5C-05.2
2074,43.0,216,Tue,15,49,-50.2225151,1.56665456,-5.791804310000003,5C-05.2,-50.46901273727417,1.566218376159668,-5.775093078613281,5C-05.2
2075,43.0,217,Wed,8,10,-49.48107,1.56665456,-5.818477629999997,5C-05.2,-50.75579261779785,1.5669879913330078,-5.770195007324219,5C-05.2
2076,43.0,217,Wed,9,12,-51.3916626,1.56665456,-5.755938999999998,5C-05.2,-50.99467706680298,1.5643386840820312,-5.783561706542969,5C-05.2
2077,43.0,217,Wed,9,56,-51.57,1.56665456,-5.75,5C-05.2,-51.20826816558838,1.550558090209961,-5.787891387939453,5C-05.2
