idx_prediction,week_num,day,day_new,hour,minute,x_actual,y_actual,z_actual,room_actual,x_prediction,y_prediction,z_prediction,room_prediction
1257,43.0,217,Wed,8,7,-21.9,1.56665456,-29.27,5C-01.2,-22.279064178466797,1.5988025665283203,-27.66507625579834,5C-01.2
1258,43.0,217,Wed,9,59,-23.005558,1.56665456,-27.493612300000002,5C-01.2,-22.312667846679688,1.5641727447509766,-27.819355010986328,5C-01.2
1259,43.0,217,Wed,10,39,-21.9,1.56665456,-29.27,5C-01.2,-22.356311798095703,1.5520496368408203,-28.22256565093994,5C-01.2
1260,43.0,217,Wed,12,11,3.9703998600000006,-8.933346,-9.415901000000002,Flur 4. OG Übergang,5.341705322265625,1.5736083984375,-9.485374450683594,
1261,43.0,217,Wed,12,39,-22.060722400000003,1.56665456,-28.8768578,5C-01.2,-22.015426635742188,1.5643043518066406,-29.23062515258789,5C-01.2
1262,43.0,217,Wed,13,11,5.816015239999999,-8.933346,-9.394990999999997,Flur 4. OG Übergang,-22.125934600830078,1.5611295700073242,-8.461612701416016,Treppenhaus 5. OG
1263,43.0,217,Wed,15,1,-22.6050987,1.56665456,-28.290480000000002,5C-01.2,-22.137252807617188,1.5651702880859375,-28.66901683807373,5C-01.2
1264,43.0,217,Wed,16,7,-21.928129999999996,1.56665456,-29.2247639,5C-01.2,-21.977283477783203,1.5678634643554688,-28.160639762878418,5C-01.2
1265,43.0,217,Wed,16,51,-8.269990999999997,-8.933345,-9.379988,Flur 4. OG Übergang,-22.15715789794922,1.5575923919677734,-27.315876007080078,5C-01.2
1266,43.0,218,Thu,8,7,-21.9329586,1.56665456,-29.2195168,5C-01.2,-22.237319946289062,1.571533203125,-28.09944438934326,5C-01.2
1267,43.0,218,Thu,9,14,-22.6067581,1.56665456,-28.2906265,5C-01.2,-22.821685791015625,1.564046859741211,-7.7907257080078125,Treppenhaus 5. OG
1268,43.0,218,Thu,10,54,-23.0358562,1.56665456,-27.4449387,5C-01.2,-22.2451171875,1.5527496337890625,-28.011313438415527,5C-01.2
1269,43.0,218,Thu,12,1,5.816015239999999,-8.933346,-9.394990999999997,Flur 4. OG Übergang,5.205776214599609,1.5763931274414062,-9.538715362548828,
1270,43.0,218,Thu,12,53,-21.9,1.56665456,-29.27,5C-01.2,-22.05853271484375,1.5693531036376953,-29.215309143066406,5C-01.2
1271,43.0,218,Thu,13,57,-23.04347,1.56665456,-27.432287199999998,5C-01.2,-22.519115447998047,1.5546646118164062,-27.730032920837402,5C-01.2
1272,43.0,218,Thu,15,44,-22.371803299999996,1.56665456,-28.615963,5C-01.2,-22.50147247314453,1.5575294494628906,-27.991251945495605,5C-01.2
1273,43.0,218,Thu,17,3,-21.9,1.56665456,-29.27,5C-01.2,-22.311798095703125,1.5709028244018555,-29.045948028564453,5C-01.2
1274,43.0,219,Fri,8,25,-22.10243,1.56665456,-28.988937399999998,5C-01.2,-22.173831939697266,1.565058708190918,-28.319133758544922,5C-01.2
1275,43.0,219,Fri,9,4,-22.398191499999996,1.56665456,-28.577858,5C-01.2,-22.35232162475586,1.5662469863891602,-28.349430084228516,5C-01.2
1276,43.0,219,Fri,9,28,-8.269990999999997,-8.933345,-9.379988,Flur 4. OG Übergang,-22.05929946899414,1.555333137512207,-27.67085361480713,5C-01.2
1277,43.0,219,Fri,10,8,-23.0489616,1.56665456,-27.42217,5C-01.2,-22.700870513916016,1.5610685348510742,-28.588712692260742,5C-01.2
1278,43.0,219,Fri,10,45,-21.9,1.56665456,-29.27,5C-01.2,-22.322589874267578,1.5514802932739258,-28.014232635498047,5C-01.2
1279,43.0,219,Fri,11,30,-21.998128899999998,1.56665456,-29.1122971,5C-01.2,-22.351810455322266,1.5522832870483398,-28.21393871307373,5C-01.2
1280,43.0,219,Fri,12,4,4.744548999999999,-8.933346,-9.389500000000002,Flur 4. OG Übergang,5.138923645019531,1.5763921737670898,-9.637371063232422,
1281,43.0,219,Fri,12,42,-21.9069481,1.56665456,-29.2601414,5C-01.2,-22.08000946044922,1.5676021575927734,-29.2174711227417,5C-01.2
1282,43.0,219,Fri,13,12,-23.0448551,1.56665456,-27.4301414,5C-01.2,-22.311553955078125,1.563979148864746,-29.013582229614258,5C-01.2
1283,43.0,219,Fri,13,58,-21.9,1.56665456,-29.27,5C-01.2,-22.318832397460938,1.5595388412475586,-27.53327178955078,5C-01.2
1284,43.0,219,Fri,14,39,-22.6358166,1.56665456,-28.2471771,5C-01.2,-22.42389678955078,1.5591135025024414,-27.788864135742188,5C-01.2
1285,43.0,219,Fri,15,27,-28.8600044,-8.933346,-35.6000023,4C-05,-22.54022979736328,1.5610418319702148,-28.525842666625977,5C-01.2
1286,43.0,219,Fri,16,33,-23.0275383,1.56665456,-27.4555149,5C-01.2,-22.685768127441406,1.5594444274902344,-29.73293399810791,5C-01.2
