idx_prediction,week_num,day,day_new,hour,minute,x_actual,y_actual,z_actual,room_actual,x_prediction,y_prediction,z_prediction,room_prediction
757,43.0,217,Wed,8,50,-39.37141,-8.933346,-4.869749999999996,4C-11,-25.696760177612305,0.6602725982666016,-6.6345367431640625,Treppenhaus 5. OG
758,43.0,217,Wed,9,16,-39.48652,-8.933346,-4.5176739999999995,4C-11,-34.57265853881836,0.6772022247314453,-6.774539947509766,Herren WC 5. OG
759,43.0,217,Wed,9,46,-41.7167168,-8.933346,-2.9021515800000017,4C-11,-33.63644981384277,0.6693401336669922,-6.737308502197266,Treppenhaus 5. OG
760,43.0,217,Wed,10,20,-39.6782722,-8.933346,-3.8170428299999983,4C-11,-26.94436264038086,0.6621732711791992,-7.755409240722656,Treppenhaus 5. OG
761,43.0,217,Wed,10,50,-8.841935999999997,-8.933346,-9.375055,Flur 4. OG Übergang,-33.61579513549805,0.6644878387451172,-6.6111907958984375,Treppenhaus 5. OG
762,43.0,217,Wed,11,17,-39.8328743,-8.933346,-3.2289183099999974,4C-11,-32.82171630859375,0.6590852737426758,-6.375339508056641,Treppenhaus 5. OG
763,43.0,217,Wed,12,9,-14.859989200000001,1.5666542099999994,-3.2999973299999965,Küche 5. OG,-12.153762817382812,0.6735897064208984,14.706474304199219,
764,43.0,217,Wed,12,36,-39.9502831,-8.933346,-2.815894,4C-11,-34.10593032836914,0.6614904403686523,-6.661029815673828,Treppenhaus 5. OG
765,43.0,217,Wed,13,14,-20.0930958,1.5666542099999994,-18.9957066,5C-01.1,-29.900999069213867,0.6569013595581055,-2.778057098388672,Herren WC 5. OG
766,43.0,217,Wed,13,33,-39.99,-8.933346,-2.6700000000000017,4C-11,-34.067142486572266,0.6586990356445312,-6.564678192138672,Treppenhaus 5. OG
767,43.0,217,Wed,15,33,-39.5414543,-8.933346,-4.319726000000003,4C-11,-33.02128601074219,0.6355657577514648,-6.714683532714844,Treppenhaus 5. OG
768,43.0,217,Wed,16,11,-39.740284,-8.933346,-3.5584473600000024,4C-11,-33.97609329223633,0.6587743759155273,-6.85406494140625,Treppenhaus 5. OG
769,43.0,218,Thu,8,42,-39.99,-8.933346,-2.6700000000000017,4C-11,-34.67795181274414,0.6678762435913086,-6.756870269775391,Herren WC 5. OG
770,43.0,218,Thu,9,0,-18.039985700000003,1.5666542099999994,-19.00001,5C-01.1,-33.405160903930664,0.6852245330810547,-6.86956787109375,Treppenhaus 5. OG
771,43.0,218,Thu,10,23,-14.360500000000002,1.5666532499999999,-11.733335499999999,5C-01.1,-15.23270034790039,0.6673069000244141,-0.3037757873535156,Küche 5. OG
772,43.0,218,Thu,12,5,-14.859989200000001,1.5666542099999994,-3.2999973299999965,Küche 5. OG,-13.538204193115234,0.6875467300415039,12.630706787109375,
773,43.0,218,Thu,12,49,-39.46823,-8.933346,-4.541783000000002,4C-11,-34.12100791931152,0.6808853149414062,-6.741058349609375,Treppenhaus 5. OG
774,43.0,218,Thu,15,2,-39.6162148,-8.933346,-4.0442449999999965,4C-11,-33.767669677734375,0.6565895080566406,-6.541866302490234,Treppenhaus 5. OG
