idx_prediction,week_num,day,day_new,hour,minute,x_actual,y_actual,z_actual,room_actual,x_prediction,y_prediction,z_prediction,room_prediction
1256,43.0,216,Tue,8,28,-37.4493065,1.56665456,-22.91031,5C-03.1,-37.36335563659668,1.5569915771484375,-22.851882934570312,5C-03.1
1257,43.0,216,Tue,10,13,-37.57215,1.56665456,-21.8028,5C-03.1,-37.53627014160156,1.5642242431640625,-21.806089401245117,5C-03.1
1258,43.0,216,Tue,10,49,-28.8599968,-8.933346,-35.6000061,4C-05,-30.15430450439453,1.5620689392089844,-20.608806610107422,Flur 5. OG
1259,43.0,216,Tue,11,24,-37.47,1.56665456,-22.95,5C-03.1,-37.47744178771973,1.5639190673828125,-23.017044067382812,5C-03.1
1260,43.0,216,Tue,12,11,-15.8530121,1.56665456,-4.251247409999998,Küche 5. OG,-15.90140151977539,1.5685758590698242,-3.4816818237304688,Küche 5. OG
1261,43.0,216,Tue,12,39,-37.5346527,1.56665456,-20.9697,5C-03.1,-37.48458480834961,1.5652408599853516,-23.223474502563477,5C-03.1
1262,43.0,216,Tue,13,5,-37.59053,1.56665456,-21.25081,5C-03.1,-37.441505432128906,1.5689334869384766,-22.944856643676758,5C-03.1
1263,43.0,216,Tue,13,28,-18.3701668,1.56665456,-18.98999,5C-01.1,-18.26314926147461,1.5655431747436523,-22.564163208007812,5C-01.1
1264,43.0,216,Tue,14,7,-37.47,1.56665456,-22.95,5C-03.1,-37.4783821105957,1.568887710571289,-22.964385986328125,5C-03.1
1265,43.0,216,Tue,14,50,-29.8118286,1.56665456,-34.3124123,5C-02.1,-29.566328048706055,1.5614509582519531,-23.016658782958984,Flur 5. OG
1266,43.0,216,Tue,15,9,-36.9190636,1.56665456,-21.865572,5C-03.1,-37.39744186401367,1.5690593719482422,-23.06894302368164,5C-03.1
1267,43.0,216,Tue,16,3,-18.039991399999998,1.56665456,-19.0,5C-01.1,-18.31387710571289,1.56951904296875,-22.918609619140625,5C-01.1
1268,43.0,217,Wed,8,36,-37.47,1.56665456,-22.95,5C-03.1,-37.531362533569336,1.5623416900634766,-22.95644187927246,5C-03.1
1269,43.0,217,Wed,9,0,-29.2729626,1.56665456,-32.7180634,5C-02.1,-29.519893646240234,1.5714836120605469,-33.93580675125122,5C-02.1
1270,43.0,217,Wed,9,35,-37.6011162,1.56665456,-21.6026154,5C-03.1,-37.43044853210449,1.5630264282226562,-22.251388549804688,5C-03.1
1271,43.0,217,Wed,10,35,-36.4331665,1.56665456,-21.2867317,5C-03.1,-37.16853141784668,1.5661449432373047,-34.51304006576538,
1272,43.0,217,Wed,11,10,-37.37201,1.56665456,-21.9618931,5C-03.1,-37.38706588745117,1.5701541900634766,-22.166549682617188,5C-03.1
1273,43.0,217,Wed,11,33,-37.47,1.56665456,-22.95,5C-03.1,-37.48242378234863,1.5656089782714844,-22.833654403686523,5C-03.1
1274,43.0,217,Wed,12,10,-15.127416599999997,1.56665456,-3.7202644300000003,Küche 5. OG,-14.940521240234375,1.5698461532592773,-3.8341827392578125,Küche 5. OG
1275,43.0,217,Wed,12,45,-37.4706078,1.56665456,-22.9460068,5C-03.1,-37.49775314331055,1.5653657913208008,-22.64699935913086,5C-03.1
1276,43.0,217,Wed,13,14,-20.2065945,1.56665456,-19.3092346,5C-01.1,-19.838985443115234,1.5673627853393555,-18.995494842529297,5C-01.1
1277,43.0,217,Wed,13,32,-37.47,1.56665456,-22.95,5C-03.1,-37.47997283935547,1.5652761459350586,-22.746488571166992,5C-03.1
1278,43.0,217,Wed,14,48,-37.5311432,1.56665456,-22.3430672,5C-03.1,-37.56498146057129,1.5600385665893555,-22.946691513061523,5C-03.1
1279,43.0,217,Wed,15,35,-9.779452999999997,-8.933346,-9.368427,Flur 4. OG Übergang,-9.037406921386719,1.5616588592529297,-9.441329956054688,Vorraum 5C-15
1280,43.0,217,Wed,16,11,-37.4659157,1.56665456,-22.9437733,5C-03.1,-37.46202850341797,1.568140983581543,-23.050992965698242,5C-03.1
1281,43.0,218,Thu,8,23,-36.5843353,1.56665456,-21.2486057,5C-03.1,-37.24167442321777,1.567117691040039,-22.426820755004883,5C-03.1
1282,43.0,218,Thu,8,58,-18.4735966,1.56665456,-18.9868584,5C-01.1,-18.450950622558594,1.5673446655273438,-18.924497604370117,5C-01.1
1283,43.0,218,Thu,10,29,-19.879812200000003,1.56665456,-20.5023689,5C-01.1,-18.864459991455078,1.5678396224975586,-19.2457332611084,5C-01.1
1284,43.0,218,Thu,11,47,-37.3858452,1.56665456,-22.818615,5C-03.1,-37.39655685424805,1.567728042602539,-22.489755630493164,5C-03.1
1285,43.0,218,Thu,12,5,-14.859989200000001,1.56665456,-3.299987790000003,Küche 5. OG,-14.706581115722656,1.5712242126464844,-3.9420166015625,Küche 5. OG
1286,43.0,218,Thu,12,37,-37.54683,1.56665456,-22.20423,5C-03.1,-37.45070838928223,1.5676603317260742,-22.738868713378906,5C-03.1
1287,43.0,218,Thu,14,24,-37.4717255,1.56665456,-22.9294167,5C-03.1,-37.50145721435547,1.5676813125610352,-22.84269142150879,5C-03.1
1288,43.0,218,Thu,14,44,-36.997303,1.56665456,-22.2131863,5C-03.1,-37.37815856933594,1.5669803619384766,-22.808229446411133,5C-03.1
1289,43.0,218,Thu,17,12,-37.47,1.56665456,-22.95,5C-03.1,-37.48708534240723,1.569066047668457,-23.153182983398438,5C-03.1
